specimen_id,species,diameter_mm,centercolor,margincolor,shape,surfacetexture,umbonate,striationlength_mm,appendiculate,universalveilpresent,staining,contextcolor
30181,Amanita bisporigera,52,light brown yellow,white,plano-convex,glaborous,umbonate,0,not appendiculate,universal veil absent,no staining,white
30182,Amanita suballiacea,107,white,white,applanate,dry and smooth,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30183,Amanita cf. oberwinkleriana,60,shiny white,shiny white,plano-concave,viscid,not umbonate,4,not appendiculate,universal veil present,no staining,white
30184,Amanita suballiacea,58, light brown white,white,plano-convex,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30185,Amanita cf. aurorae nom prov.,32,orange brown,orange,plano-convex,dry,umbonate,5,not appendiculate,universal veil absent,no staining,white
30186,Amanita fusca,27, light brown white,white,applanate,viscid,not umbonate,5,not appendiculate,universal veil present,light grey,white
30187,Amanita suballiacea,112, light brown white,white,plano-convex,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30188,Amanita fuscozonata,22,brown,light brown,applanate,glaborous,not umbonate,7,not appendiculate,universal veil present,no staining,white
30189,Amanita rhacopus,75,dark brown,light brown,applanate,viscid,minutely umbonate,12,not appendiculate,universal veil present,no staining,white
30190,Amanita frostiana,65,yellow,yellow,convex,viscid,not umbonate,7,not appendiculate,universal veil present,no staining,white
30191,Amanita frostiana,47,yellow,yellow,convex,slightly viscid,not umbonate,9,not appendiculate,universal veil present,no staining,white
30192,Amanita chrysoblema,57,light brown,white,applanate,sticky,not umbonate,5,not appendiculate,universal veil present,no staining,white
30193,Amanita confundens,50,brown,light brown,applanate,dry,not umbonate,8,not appendiculate,universal veil absent,no staining,white
30194,Amanita aff. fulva,35,brown,light brown,applanate,wrinkly,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30195,Amanita amerivirosa,70,light brown, light brown white,convex,wrinkly,not umbonate,6,not appendiculate,universal veil absent,no staining,white
30196,Amanita chrysoblema,127,light brown,light yellow,plano-concave,viscid,not umbonate,18,not appendiculate,universal veil present,no staining,white
30197,Amanita chrysoblema,85,yellow orange,yellow,applanate,viscid,not umbonate,9,not appendiculate,universal veil present,no staining,white
30198,Amanita sinicoflava,43,dark brown,light brown,convex,viscid,minutely umbonate,10,not appendiculate,universal veil absent,no staining,white
30199,Amanita bisporigera,77,light brown,white,applanate,majorly viscid,umbonate,3,not appendiculate,universal veil absent,no staining,white
30200,Amanita bisporigera,55,dingy white,white,applanate,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30201,Amanita flavoconia,38,yellow orange,yellow orange,applanate,viscid,not umbonate,5,not appendiculate,universal veil present,no staining,white
30202,Amanita porphyria,52,brown,brown,applanate,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30203,Amanita amerivirosa,65, light brown white, light brown white,applanate,viscid,not umbonate,1,not appendiculate,universal veil absent,no staining,white
30204,Amanita amerivirosa,75,white,white,plano-convex,viscid,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30205,Amanita flavoconia,45,brown yellow,yellow,applanate,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white
30206,Amanita flavoconia,33,brown,orange,plano-convex,viscid,not umbonate,1,not appendiculate,universal veil present,no staining,white
30207,Amanita porphyria,67,dark brown,light brown,applanate,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white
30208,Amanita cf. lavendula,52,light yellow green,light yellow,plano-convex,smooth,not umbonate,0,not appendiculate,universal veil present,no staining,white
30209,Amanita amerivirosa,57,light brown,white,applanate,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30210,Amanita chrysoblema,70,orange,yellow,plano-convex,sticky,not umbonate,6,not appendiculate,universal veil present,no staining,white
30211,Amanita chrysoblema,45,light yellow,light yellow,campanulate,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white
30212,Amanita sp. 'GWA-ami1',50,light brown,light brown,applanate,dry,not umbonate,7,appendiculate,universal veil present,no staining,white
30213,Amanita cf. lavendula,37,bright yellow green,light yellow,convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30214,Amanita cf. lavendula,25,bright yellow green,light yellow,plano-convex,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white
30215,Amanita centrascura,52,dark grey ring,light grey,applanate,dry,not umbonate,7,not appendiculate,universal veil absent,no staining,white
30216,Amanita cf. lavendula,55,dingy yellow, light yellow,plano-convex,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white
30217,Amanita cf. lavendula,42,dingy brown,light yellow,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil present,brown,white
30218,Amanita cf. lavendula,45,bright yellow,bright yellow,convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30219,Amanita cf. lavendula,75,light yellow green,light yellow green,convex,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30220,Amanita centrascura,39,light grey ring,grey,applanate,viscid,minutely umbonate,7,not appendiculate,universal veil absent,no staining,white
30221,Amanita multisquamosa,42, light brown white,white,convex,viscid,not umbonate,3,not appendiculate,universal veil present,light brown,white
30222,Amanita multisquamosa,53,dark brown, light brown white,applanate,silky,not umbonate,9,not appendiculate,universal veil present,no staining,white
30223,Amanita multisquamosa,50,light brown,white,plano-concave,silky,not umbonate,12,not appendiculate,universal veil present,no staining,white
30224,Amanita multisquamosa,68,brown,brown tinge,plano-concave,silky,not umbonate,12,not appendiculate,universal veil present,no staining,white
30225,Amanita populiphila,62,light pink,light pink,applanate,glaborous,not umbonate,8,not appendiculate,universal veil present,no staining,white
30226,Amanita stranella,40,light brown yellow,light brown yellow,convex,viscid,not umbonate,3,not appendiculate,universal veil present,no staining,white
30227,Amanita stranella,26,light brown  light brown white, light brown white,applanate,glaborous,not umbonate,2,not appendiculate,universal veil present,no staining,white
30228,Amanita flavoconia,32,orange yellow,light orange yellow,convex,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white
30229,Amanita frostiana,54,dark orange,orange yellow,plano-convex,majorly viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white
30230,Amanita amerirubescens nom prov.,50,redd brown,yellow brown,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30231,Amanita amerirubescens nom prov.,90,brown,brown,convex,dry,not umbonate,0,not appendiculate,universal veil absent,red brown,white
30232,Amanita amerirubescens nom prov.,70,light brown,white,applanate,glaborous,not umbonate,3,not appendiculate,universal veil present,red brown,white
30233,Amanita rhacopus,67,dark brown,light brown,applanate,viscid,not umbonate,14,not appendiculate,universal veil absent,no staining,white
30234,Amanita rhacopus,98,dark brown,light brown,applanate,glaborous,not umbonate,20,not appendiculate,universal veil absent,no staining,white
30235,Amanita solaniolens,28,light brown,white,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30236,Amanita solaniolens,60,dark brown,light brown,applanate,viscid,not umbonate,3,not appendiculate,universal veil present,no staining,white
30237,Amanita confundens,33,shiny grey,shiny light grey,plano-concave,silky,not umbonate,7,not appendiculate,universal veil absent,no staining,white
30238,Amanita flavorubens,60,brown yellow radiating,yellow,applanate,not observed,not umbonate,3,not appendiculate,universal veil present,red brown,white
30239,Amanita virginiana,30,grey brown,grey brown,plano-convex,not observed,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30240,Amanita bisporigera,45,light yellow,white,plano-concave,not observed,not umbonate,0,not appendiculate,universal veil present,no staining,white
30242,Amanita frostiana,40,dark orange,light orange,applanate,viscid,not umbonate,5,not appendiculate,universal veil present,no staining,white
30243,Amanita aff. fulva,45,light brown, light brown white,campanulate,viscid,not umbonate,6,not appendiculate,universal veil absent,no staining,white
30244,Amanita coryli,30,light grey,white,convex,majorly viscid,not umbonate,7,not appendiculate,universal veil absent,no staining,white
30245,Amanita aff. fulva,,brown,light orange,applanate,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30246,Amanita brunnescens,60,brown,light brown,campanulate,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white
30247,Amanita aff. griseoumbonata,45,light grey,white,plano-concave,silky,not umbonate,10,not appendiculate,universal veil present,no staining,white
30248,Amanita brunnescens,65,dark brown,brown,convex,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white
30249,Amanita stranella,45,dingy yellow,light brown white,plano-concave,viscid,not umbonate,5,not appendiculate,universal veil present,no staining,white
30250,Amanita coryli,50,dark grey brown,light grey brown,applanate,dry,not umbonate,10,not appendiculate,universal veil absent,no staining,white
30251,Amanita coryli,75,light grey,white,plano-convex,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30252,Amanita amerirubescens nom prov.,52,light brown red,white,applanate,glaborous,not umbonate,0,not appendiculate,universal veil present,red brown,white
30253,Amanita brunnescens,50, light brown white,white,campanulate,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white
30254,Amanita brunnescens,80,brown,light brown,plano-convex,sticky,umbonate,0,not appendiculate,universal veil present,no staining,white
30255,Amanita aff. fulva,45,orange brown,light orange,applanate,viscid,not umbonate,10,not appendiculate,universal veil absent,no staining,white
30256,Amanita rhacopus,50,brown,brown,applanate,viscid,not umbonate,5,not appendiculate,universal veil present,no staining,white
30257,Amanita confundens,40,white green tint,white,applanate,silky,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30258,Amanita brunnescens,75,brown radiating,light brown,applanate,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30259,Amanita brunnescens,55,light brown, light brown white,applanate,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white
30260,Amanita solaniolens,40,light brown yellow ring radiating, light brown white ,plano-concave,majorly viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white
30261,Amanita frostiana,60,orange,yellow,applanate,majorly viscid,not umbonate,10,not appendiculate,universal veil present,no staining,white
30262,Amanita subnigra nom prov.,55,brown,brown,plano-concave,viscid,umbonate,10,not appendiculate,universal veil absent,no staining,white
30263,Amanita brunnescens,90,brown,light brown,applanate,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30264,Amanita amerirubescens nom prov.,40,light brown,white,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30265,Amanita brunnescens,90, light brown, light brown,convex,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30267,Amanita amerivirosa,95,white,white,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30268,Amanita jakeslandingensis nom prov.,60,brown ring,light brown,applanate,glaborous,umbonate,12,not appendiculate,universal veil absent,no staining,white
30269,Amanita amerivirosa,100,white,white,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30270,Amanita amerivirosa,70,white,white,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30271,Amanita brunnescens,70,light  light brown,light  light brown,convex,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30272,Amanita brunnescens,50,light brown, light brown white,applanate,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30273,Amanita bisporigera,70, light brown white yellow,white,applanate,glaborous,umbonate,0,not appendiculate,universal veil absent,no staining,white
30274,Amanita sp. 'GWA-ami2',70,light brown,light brown,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil present,light brown,white
30275,Amanita bisporigera,60,white,white,applanate,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30276,Amanita sp. 'GWA-phal1',50,light brown,white,convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30277,Amanita bisporigera,30,light brown tinge,white,applanate,dry,umbonate,0,not appendiculate,universal veil absent,no staining,white
30278,Amanita centrascura,45,brown ring, light brown white,applanate,glaborous,not umbonate,7,not appendiculate,universal veil absent,no staining,white
30279,Amanita suballiacea,85,white,white,convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30280,Amanita populiphila,85,pink  light brown white,pink  light brown white,convex,glaborous,not umbonate,10,not appendiculate,universal veil absent,no staining,white
30281,Amanita fusca,40, light brown white ring, light brown white,convex,glaborous,not umbonate,5,not appendiculate,universal veil present,no staining,white
30282,Amanita fusca,35,brown,brown,applanate,dry,minutely umbonate,7,not appendiculate,universal veil absent,no staining,white
30283,Amanita flavorubens,65,brown,yellow,applanate,dry,not umbonate,0,not appendiculate,universal veil present,red brown,white
30284,Amanita suballiacea,75,light yellow pink tint,white,applanate,dry,minutely umbonate,0,not appendiculate,universal veil absent,no staining,white
30285,Amanita fusca,60,brown grey,brown grey,applanate,dry,not umbonate,5,not appendiculate,universal veil present,no staining,white
30286,Amanita porphyria,45,brown,brown,applanate,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30287,Amanita cf. lavendula,75,dingy yellow,light yellow,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,lavender,white
30291,Amanita cf. lavendula,35,yellow,yellow tinge,applanate,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white
30293,Amanita porphyria,55,shiny brown,shiny brown,applanate,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
40220,Amanita cf. lavendula,68,light yellow,white,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30187_2,Amanita suballiacea,69,light brown white,white,applanate,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30187_3,Amanita suballiacea,113,light brown white,white,applanate,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30193_2,Amanita confundens,37,brown,light brown,plano-convex,dry,not umbonate,8,not appendiculate,universal veil absent,no staining,white
30193_3,Amanita confundens,35,brown,light brown,convex,dry,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30194_2,Amanita aff. fulva,28,light brown,light brown,convex,dry,not umbonate,4,not appendiculate,universal veil absent,no staining,white
30199_2,Amanita bisporigera,60, light brown white,white,applanate,majorly viscid,umbonate,8,not appendiculate,universal veil absent,no staining,white
30199_3,Amanita bisporigera,65,white,white,convex,majorly viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30199_4,Amanita bisporigera,50,white,white,campanulate,majorly viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30204_2,Amanita amerivirosa,63,light yellow,white,plano-convex,viscid,not umbonate,2,not appendiculate,universal veil absent,no staining,white
30204_3,Amanita amerivirosa,58,white,white,plano-convex,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30204_4,Amanita amerivirosa,45,white,white,convex,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30208_2,Amanita cf. lavendula,48,light yellow,light yellow,campanulate,smooth,not umbonate,0,not appendiculate,universal veil present,no staining,white
30223_2,Amanita multisquamosa,57,light brown,white,plano-concave,viscid,not umbonate,8,not appendiculate,universal veil present,no staining,white
30223_3,Amanita multisquamosa,60,light brown,white,plano-concave,silky,not umbonate,6,not appendiculate,universal veil present,no staining,white
30224_2,Amanita multisquamosa,63,light brown,white,plano-concave,majorly viscid,not umbonate,10,not appendiculate,universal veil present,no staining,white
30226_2,Amanita stranella,50,light yellow,white,applanate,glaborous,not umbonate,8,not appendiculate,universal veil present,no staining,white
30230_2,Amanita amerirubescens nom prov.,75,redd brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_3,Amanita amerirubescens nom prov.,85,redd brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_4,Amanita amerirubescens nom prov.,80,brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_5,Amanita amerirubescens nom prov.,82,light brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_6,Amanita amerirubescens nom prov.,132,red brown,light brown,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_7,Amanita amerirubescens nom prov.,34,yellow brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_8,Amanita amerirubescens nom prov.,45,brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30239_2,Amanita virginiana,20,grey brown,grey brown,plano-convex,not observed,not umbonate,3,not appendiculate,universal veil present,no staining,white
30249_2,Amanita stranella,40,dingy yellow, light brown white,applanate,viscid,not umbonate,5,not appendiculate,universal veil present,,white
30250_2,Amanita coryli,30,grey brown,light brown,convex,dry,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30257_2,Amanita confundens,50,white green tint,white,applanate,silky,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30274_2,Amanita sp. 'GWA-ami2',,light brown,light brown,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil present,light brown,white
30280_2,Amanita populiphila,70,light brown pink,light brown pink,convex,glaborous,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30280_3,Amanita populiphila,40,light brown pink,light brown pink,plano-convex,glaborous,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30280_4,Amanita populiphila,45,light brown pink,light brown pink,applanate,glaborous,not umbonate,12,not appendiculate,universal veil absent,no staining,white
30280_5,Amanita populiphila,40,light brown pink,light brown pink,applanate,glaborous,not umbonate,3,not appendiculate,universal veil absent,no staining,white
30280_6,Amanita populiphila,85,light brown pink,light brown pink,applanate,glaborous,not umbonate,20,not appendiculate,universal veil absent,no staining,white
30280_7,Amanita populiphila,90,light brown pink,light brown pink,campanulate,glaborous,not umbonate,15,not appendiculate,universal veil absent,no staining,white